id,node_id,position
6393127,1332157846,9
6393127,667218399,10
6393127,601727366,11
6393127,1332157889,12
6393127,667218405,13
6393127,207948634,14
6393127,1332157716,15
6393127,1332157974,16
6393127,667218409,17
6393127,207948636,18
6393127,667218412,19
6393127,1332157793,20
6393127,53140757,21
6393127,1332158036,22
6393127,1332157988,23
6393127,53100432,24
6393127,2978310157,25
6393127,53021843,26
6393127,53115238,27
6393127,53140760,28
6393127,53140761,29
6394114,53025053,0
6394114,53109862,1
6394114,53067221,2
6394114,53141155,3
6395260,53143212,0
6395260,667218313,1
6395260,667218314,2
6395260,53143216,3
6396510,53125987,0
6396510,53045424,1
6397510,53145545,0
6397510,53145546,1
6398324,53146650,0
6398324,53040485,1
6398324,53146659,2
6398324,53146663,3
6398324,53146665,4
6398324,53137291,5
6399290,53147605,0
6399290,53147607,1
6400117,311674240,0
6400117,311674241,1
6400117,53148645,2
6400117,242414048,3
6400894,53148262,0
6400894,261215626,1
6400894,53058920,2
6400894,310483283,3
6400894,295964162,4
6400894,310483284,5
6400894,53089124,6
6400894,310483285,7
6400894,310483286,8
6400894,712801061,9
6401820,53048273,0
6401820,296482913,1
6401820,296482900,2
6401820,53150627,3
6401820,53144969,4
6401820,296482228,5
6402568,53040994,0
6402568,265518427,1
6402568,53092429,2
6403347,53095423,0
6403347,53152493,1
6404033,53055295,0
6404033,53153252,1
6404755,53145114,0
6404755,3181537674,1
6404755,3181537676,2
6404755,760506061,3
6404755,3181537677,4
6404755,760506064,5
6404755,760506075,6
6404755,3181537678,7
6404755,53027773,8
6405497,53079617,0
6405497,53155063,1
6406326,53090509,0
6406326,890113997,1
6406326,890113981,2
6406326,890113975,3
6406326,53155973,4
6406326,3875809967,5
6406326,3875809952,6
6406326,3875809924,7
6406326,53155971,8
6406326,890115068,9
6406326,890115064,10
6406326,890115059,11
6406326,890115055,12
6406326,890115052,13
6406326,890115049,14
6406326,272109145,15
6406326,3875809898,16
6406326,3875809899,17
6406326,3875809910,18
6406326,3875809918,19
6406326,3875809923,20
6406326,3875809943,21
6406326,3875809976,22
6406326,3875809979,23
6406326,3875809992,24
6406326,3875810006,25
6406326,3875810008,26
6406326,53096287,27
6406326,3875810021,28
6406326,3875810026,29
6406326,3875810028,30
6406326,890107492,31
6406326,3875810033,32
6406326,4590428487,33
6406326,4590428474,34
6406326,3875810054,35
6406326,4590428469,36
6406326,3875810069,37
6406326,4590428449,38
6406326,53090357,39
6407051,53089148,0
6407051,4595606926,1
6408050,53086067,0
6408050,207889988,1
6408050,207889990,2
6408050,370465461,3
6408050,207889992,4
6408050,207889993,5
6408050,53024328,6
6408050,322740736,7
6408050,322740737,8
6408050,53157882,9
6408050,322740738,10
6408050,207889997,11
6408050,207889998,12
6408050,322740739,13
6408050,207890000,14
6408050,53139633,15
7841703,57650293,0
7841703,57650376,1
7841703,57650385,2
7853657,57795036,0
7853657,57795038,1
7854669,57802725,0
7854669,3526548469,1
7854669,353192759,2
7854669,3526548459,3
7854669,353192760,4
7854669,3526548446,5
7854669,57802727,6
7854669,3526548440,7
7854669,3526548435,8
7854669,3526548426,9
7854669,353192761,10
7854669,3526548423,11
7854669,353192762,12
7854669,3526548429,13
7854669,3526548434,14
7854669,353192763,15
7854669,3526548431,16
7854669,57802728,17
7855259,57807473,0
7855259,575684270,1
7855259,57807476,2
7855861,57812238,0
7855861,4684642608,1
7855861,2564796668,2
7855861,57812241,3
7855861,57812243,4
7855861,57812245,5
7855861,57812246,6
7855861,57812248,7
7855861,57812250,8
7855861,57812252,9
7855861,57897850,10
7856576,57804598,0
7856576,57817234,1
7857122,57820572,0
7857122,418974497,1
7857122,418974498,2
7857122,57820574,3
7857676,57823972,0
7857676,57823973,1
7858312,57828160,0
7858312,625734387,1
7858312,57828161,2
7858312,57828163,3
7858312,57828164,4
7858312,57828165,5
7858312,57828168,6
7858312,57828170,7
7858730,57830877,0
7858730,57807749,1
7859244,57834020,0
7859244,57834021,1
7859244,57834022,2
7859244,243683488,3
7859244,2173886259,4
7859244,57884608,5
7859784,57837418,0
7859784,57837420,1
7859784,1456099248,2
7859784,1717084609,3
7859784,57837423,4
7860406,57798326,0
7860406,355820071,1
7860406,57842125,2
7860927,57808338,0
7860927,4602469510,1
7860927,57845416,2
7860927,2621689406,3
7860927,57845418,4
7860927,57845420,5
7860927,2621689407,6
7860927,2783818637,7
7860927,2783818641,8
7860927,2783818648,9
7860927,2783818625,10
7861477,57848946,0
7861477,57837544,1
7861477,57848948,2
7861477,57804308,3
7861477,57848950,4
7861477,57848953,5
7861477,57848954,6
7861477,57848956,7
7861477,57848958,8
7861477,57837168,9
7861477,57848959,10
7861477,57848960,11
7861477,57829187,12
7861477,57848965,13
7861477,57848966,14
7862014,57852068,0
7862014,4892624965,1
7862014,4892624964,2
7862014,4892624963,3
7862014,4892624930,4
7862014,57852071,5
7862738,57852384,0
7862738,57857473,1
7863327,57861622,0
7863327,57861624,1
7863977,3840704485,0
7863977,4435272277,1
7863977,57819767,2
7863977,1718897272,3
7863977,1463394942,4
7863977,1446786941,5
7863977,1463394902,6
7863977,1463394999,7
7863977,1463395016,8
7863977,1718897164,9
7863977,57866549,10
7864481,57869795,0
7864481,57869797,1
7864903,57873019,0
7864903,57873022,1
7865396,347748070,0
7865396,57875838,1
7865396,57803589,2
7865396,57875842,3
7865396,320130540,4
7865396,320130532,5
7865396,57875857,6
7865396,57875859,7
7865874,57814546,0
7865874,356069887,1
7865874,356069888,2
7865874,57878431,3
7866489,57872801,0
7866489,545108455,1
7866489,545108457,2
7866489,545108461,3
7866489,57881707,4
7866489,545108472,5
7866489,545108474,6
7866489,545108475,7
7866489,57881710,8
7866489,545108479,9
7866489,545108480,10
7866489,57881711,11
7866489,545108482,12
7866489,545108483,13
7866489,544370432,14
7866489,57872799,15
7866489,544370474,16
7866489,544370473,17
7866489,544370472,18
7866489,544370471,19
7866489,544370470,20
7866489,57866072,21
7866489,57881715,22
7866489,544370482,23
7866489,544370481,24
7866489,544370480,25
7866489,544370479,26
7866489,544370478,27
7866489,544370477,28
7866489,544370476,29
7866489,544370475,30
7866489,545097685,31
7866489,545097683,32
7866489,57848358,33
7866489,545097680,34
7866489,545097696,35
7866489,545097693,36
7866489,545097691,37
7866489,57881717,38
7866489,57881719,39
7866489,540894695,40
7866489,540894693,41
7866489,540894692,42
7866489,540894690,43
7866489,57881720,44
7866489,540894689,45
7866489,540894703,46
7866489,540894686,47
7866489,540894684,48
7866489,540894683,49
7866489,57850606,50
7866942,57884598,0
7866942,57884600,1
7866942,57884602,2
7867448,57887376,0
7867448,57887378,1
7868039,57890507,0
7868039,57874020,1
7868039,57835647,2
7868039,57804114,3
7868039,4385096333,4
7868039,57890508,5
7868039,581530976,6
7868039,4385096327,7
7868039,581530979,8
7868039,57890509,9
7868039,4385096329,10
7868039,57890512,11
7868039,57890513,12
7868039,581531346,13
7868039,57884918,14
7868585,57893330,0
7868585,57893340,1
7868585,57893342,2
7868585,57893343,3
7868585,4605209940,4
7868585,57893345,5
7868585,57893347,6
7868585,57893348,7
7868585,57893349,8
7869050,57895995,0
7869050,3364782101,1
7869050,57895996,2
7869050,3364782098,3
7869050,3364782097,4
7869050,2621689428,5
7869050,57895998,6
7869050,554085888,7
7869050,554086090,8
7869490,57873376,0
7869490,57819347,1
7869490,803091694,2
7869490,352949805,3
7869490,57898313,4
7869490,57898315,5
7869490,352949807,6
7869490,57898317,7
7869490,350728776,8
7869490,350729197,9
7869490,57898319,10
7869490,57855725,11
7869490,350729198,12
7869490,350729201,13
7869490,350729202,14
7869490,57898320,15
7870024,57901872,0
7870024,57901874,1
7870024,57901876,2
7870573,57905219,0
7870573,57905221,1
7870573,57905223,2
7870573,57905225,3
7870573,57905226,4
7870573,57905227,5
7870573,57905230,6
7870573,347702445,7
7870573,57890575,8
7871052,57872553,0
7871052,351631441,1
7871052,57907621,2
7871052,57907623,3
7871052,57907625,4
7871556,57910567,0
7871556,57910568,1
7871556,57910570,2
7871556,57910572,3
7871556,57910574,4
7872039,57836215,0
7872039,353217774,1
7872039,57913200,2
7872039,2563897117,3
7872039,2563897116,4
7872039,2563897114,5
7872039,2563897113,6
7872039,2563897112,7
7872533,57843172,0
7872533,57915802,1
7872533,260541548,2
7872533,260541549,3
7872533,260541550,4
7872533,260541551,5
7873063,57918480,0
7873063,575677272,1
7873581,57921169,0
7873581,262105571,1
7873581,260605975,2
7873581,57882664,3
7873581,57844000,4
7873581,57907896,5
7874017,57920859,0
7874017,347855878,1
7874017,57923326,2
7874017,57923352,3
7874017,57885750,4
7874613,4169895074,0
7874613,262294482,1
7874613,262294480,2
7874613,262294479,3
7874613,262294477,4
7874613,262294475,5
7874613,4169895070,6
7875193,57929467,0
7875193,57929468,1
7875839,57900509,0
7875839,262120885,1
7875839,262120884,2
7875839,4621134494,3
7875839,57932919,4
7876329,57918990,0
7876329,57935544,1
7876907,57938130,0
7876907,57894665,1
7876907,575677223,2
7876907,57938133,3
7876907,57938134,4
7876907,575677231,5
7877477,57833573,0
7877477,57841036,1
7877477,57822897,2
7877477,1912098002,3
7877477,57809617,4
7877477,57928970,5
7877988,57928892,0
7877988,2507537720,1
7877988,57943638,2
7877988,57878295,3
7877988,57894567,4
7877988,57830501,5
7877988,57943642,6
7877988,2507537733,7
7877988,2507537734,8
7877988,4595589182,9
7877988,4595589183,10
7878523,57873963,0
7878523,57935717,1
7878523,57935718,2
7878523,57935720,3
7878523,271493022,4
7878523,271493024,5
7878523,271492681,6
7878523,271492683,7
7878523,271492684,8
7878523,271492685,9
7878523,271493025,10
7878523,271492686,11
7878523,57935721,12
7879154,57937130,0
7879154,348098710,1
7879154,57949835,2
7879751,57952846,0
7879751,353215716,1
7879751,353215442,2
7879751,353215717,3
7879751,353215443,4
7879751,353215719,5
7879751,57882144,6
7879751,353215864,7
7879751,57952848,8
7880292,57838050,0
7880292,2452136954,1
7880292,2452136952,2
7880292,57955465,3
7880292,2452136943,4
7880292,2452136940,5
7880292,2452136949,6
7880292,2452136946,7
7880292,2452136938,8
7880292,2452136931,9
7880292,57955469,10
7880788,57957683,0
7880788,1134652835,1
7880788,57848467,2
7881533,57947502,0
7881533,57929192,1
7881533,57837138,2
7881533,57959871,3
8013485,59942767,0
8013485,59942766,1
8013485,59942774,2
8013485,59942765,3
8013485,59942764,4
8915229,65283514,0
8915229,65283516,1
8915229,65283518,2
8915720,65286922,0
8915720,65286926,1
8915720,65286927,2
8915720,65286931,3
8915720,65286935,4
8915720,1993085333,5
8915720,65286938,6
8916210,65291514,0
8916210,775320101,1
8916210,775320102,2
8916210,1472411030,3
8916395,65295865,0
8916395,258973924,1
8916395,65295867,2
8916555,65299144,0
8916555,2317999455,1
8916555,2317999457,2
